Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-05-10,2024-05-03,11650.0,0.2657599810195587,
2024-05-10,2024-05-03,11700.0,0.2793256939198955,
2024-05-10,2024-05-03,11750.0,0.2927279025718288,
2024-05-10,2024-05-03,11800.0,0.3059754799190918,
2024-05-10,2024-05-03,11850.0,0.3190762691000984,
2024-05-10,2024-05-03,11900.0,0.3320372548251995,
2024-05-10,2024-05-03,12000.0,0.3575642496371407,
2024-05-10,2024-05-03,12100.0,0.3825997039513478,
2024-05-10,2024-05-03,12200.0,0.4071794947876907,
2024-05-10,2024-05-03,12300.0,0.431333920562119,
2024-05-10,2024-05-03,12400.0,0.4550889527577282,
2024-05-10,2024-05-03,12500.0,0.4784671391441077,0.3943431496865479
2024-05-10,2024-05-03,12600.0,0.5014882714037349,
2024-05-10,2024-05-03,12700.0,0.5241698889817167,
2024-05-17,2024-05-03,8500.0,0.4649401268907107,0.5685474985465168
2024-05-17,2024-05-03,8600.0,0.543244323375824,0.5447533788059945
2024-05-17,2024-05-03,8700.0,0.5196865433846798,0.5211427898080788
2024-05-17,2024-05-03,8800.0,0.49630170080383,0.4977052541950413
2024-05-17,2024-05-03,8900.0,0.4187034048075774,0.474429987126675
2024-05-17,2024-05-03,9000.0,0.3978117328005819,0.4513057987548775
2024-05-17,2024-05-03,9100.0,0.3770591162939153,0.4283209766602013
2024-05-17,2024-05-03,9200.0,0.4155644592644806,0.405463141979553
2024-05-17,2024-05-03,9250.0,0.4039573735299012,0.3940777511756329
2024-05-17,2024-05-03,9300.0,0.3923766585628371,0.3827190705392916
2024-05-17,2024-05-03,9350.0,0.3808204219932034,0.3713852779433274
2024-05-17,2024-05-03,9400.0,0.3332644578944166,0.3600744668243338
2024-05-17,2024-05-03,9450.0,0.3226431359992944,0.3487846352408822
2024-05-17,2024-05-03,9500.0,0.3462782530275308,0.3375136732973187
2024-05-17,2024-05-03,9550.0,0.2609082614576372,0.326259348613267
2024-05-17,2024-05-03,9600.0,0.3316892604251681,0.3150192894418613
2024-05-17,2024-05-03,9650.0,0.320009830078826,0.3037909649406346
2024-05-17,2024-05-03,9700.0,0.2816399529238926,0.2925716619702829
2024-05-17,2024-05-03,9750.0,0.2707511743904397,0.2813584576264094
2024-05-17,2024-05-03,9800.0,0.2918259833292841,0.249966959087239
2024-05-17,2024-05-03,9850.0,0.2580931315062526,0.258937401238147
2024-05-17,2024-05-03,9900.0,0.2469058049046659,0.2477223249890679
2024-05-17,2024-05-03,9950.0,0.2561558953389656,0.236498792899632
2024-05-17,2024-05-03,10000.0,0.2317245837257167,0.2252621800982549
2024-05-17,2024-05-03,10050.0,0.2265142501377985,0.2018896063788343
2024-05-17,2024-05-03,10100.0,0.2279434359152078,0.19109549063326
2024-05-17,2024-05-03,10150.0,0.2029544807840476,0.1879632417076626
2024-05-17,2024-05-03,10200.0,0.2137626436183271,0.1732360121423044
2024-05-17,2024-05-03,10250.0,0.2046073613134868,0.1771474800921448
2024-05-17,2024-05-03,10300.0,0.1762550272895478,
2024-05-17,2024-05-03,10350.0,0.1907107502243281,0.1698992501426547
2024-05-17,2024-05-03,10400.0,0.1848388032310657,0.1683457140801569
2024-05-17,2024-05-03,10450.0,,0.170591780045464
2024-05-17,2024-05-03,10500.0,,0.1670485347736951
2024-05-17,2024-05-03,10550.0,0.1704074895436818,0.1593727498422598
2024-05-17,2024-05-03,10600.0,0.1602335854371742,0.1604007913406249
2024-05-17,2024-05-03,10650.0,,0.1579635729573445
2024-05-17,2024-05-03,10700.0,0.1538868840539534,0.1540245518031512
2024-05-17,2024-05-03,10750.0,,0.1510934981838627
2024-05-17,2024-05-03,10800.0,0.1484983097213002,0.1486200369882203
2024-05-17,2024-05-03,10850.0,0.144937620033438,
2024-05-17,2024-05-03,10900.0,0.1435856349444337,0.1425242796735216
2024-05-17,2024-05-03,10950.0,0.1431298324879533,
2024-05-17,2024-05-03,11000.0,0.1424589143063,0.1425858601804373
2024-05-17,2024-05-03,11050.0,0.1417306782816212,
2024-05-17,2024-05-03,11100.0,0.1412502522691753,
2024-05-17,2024-05-03,11150.0,0.1415883893121022,
2024-05-17,2024-05-03,11200.0,0.1417607527639395,0.1399277976358665
2024-05-17,2024-05-03,11250.0,0.1349407933158636,0.1176112110763052
2024-05-17,2024-05-03,11300.0,0.1419533763825222,
2024-05-17,2024-05-03,11350.0,0.1343105133349074,0.075817127952654
2024-05-17,2024-05-03,11400.0,0.1352436370384663,
2024-05-17,2024-05-03,11450.0,0.1391411409977445,
2024-05-17,2024-05-03,11500.0,0.1583725035824061,
